msl_trend,latbin,lonbin
3.1617885,54.0,7.0
3.2706175,54.0,8.0
1.075769,55.0,-20.0
0.9521854,55.0,-19.0
1.7607484,55.0,-18.0
2.2297125,55.0,-17.0
2.2272575,55.0,-16.0
2.9893246,55.0,-15.0
3.2043486,55.0,-14.0
4.042096,55.0,-13.0
3.9130507,55.0,-12.0
3.3818274,55.0,-11.0
2.41502,55.0,-10.0
2.036446,55.0,-9.0
2.620786,55.0,-8.0
2.3659174,55.0,-7.0
2.7543151,55.0,-6.0
2.7566442,55.0,-5.0
2.5725598,55.0,-1.0
2.7939763,55.0,0.0
2.8639698,55.0,1.0
2.8643193,55.0,2.0
2.8307269,55.0,3.0
2.856652,55.0,4.0
3.06133,55.0,5.0
3.1999516,55.0,6.0
3.1291502,55.0,7.0
2.8981624,55.0,8.0
0.5936581,56.0,-20.0
1.1612692,56.0,-19.0
2.0638704,56.0,-18.0
2.450106,56.0,-17.0
2.4590328,56.0,-16.0
2.3297648,56.0,-15.0
1.495559,56.0,-14.0
1.6710023,56.0,-13.0
2.978918,56.0,-12.0
2.361725,56.0,-11.0
2.9151578,56.0,-10.0
2.335887,56.0,-9.0
2.1513197,56.0,-8.0
2.4216802,56.0,-7.0
3.0388694,56.0,-6.0
3.0103688,56.0,-5.0
2.647905,56.0,-4.0
2.5890398,56.0,-3.0
2.5853431,56.0,-2.0
2.6618145,56.0,-1.0
2.7498524,56.0,0.0
2.812156,56.0,1.0
2.782501,56.0,2.0
2.6524894,56.0,3.0
2.5741422,56.0,4.0
2.8537693,56.0,5.0
3.1759622,56.0,6.0
3.2449012,56.0,7.0
3.5886712,56.0,8.0
0.95887035,57.0,-20.0
1.5058868,57.0,-19.0
1.4643954,57.0,-18.0
2.1646998,57.0,-17.0
2.471754,57.0,-16.0
2.6046267,57.0,-15.0
2.7343862,57.0,-14.0
2.7241244,57.0,-13.0
2.6370354,57.0,-12.0
2.432303,57.0,-11.0
3.5384524,57.0,-10.0
2.4815304,57.0,-9.0
2.4901962,57.0,-8.0
3.022505,57.0,-7.0
3.3266518,57.0,-6.0
2.7941082,57.0,-2.0
2.8364232,57.0,-1.0
2.805953,57.0,0.0
2.7255213,57.0,1.0
2.7015316,57.0,2.0
2.6523778,57.0,3.0
2.6069527,57.0,4.0
2.8184836,57.0,5.0
2.853536,57.0,6.0
2.9689214,57.0,7.0
3.3051732,57.0,8.0
1.0274932,58.0,-20.0
1.2917981,58.0,-19.0
1.6967648,58.0,-18.0
2.0452473,58.0,-17.0
2.2928786,58.0,-16.0
2.4126244,58.0,-15.0
2.4646552,58.0,-14.0
2.5617433,58.0,-13.0
3.0338147,58.0,-12.0
2.7062418,58.0,-11.0
2.7517865,58.0,-10.0
2.4608734,58.0,-9.0
2.3562806,58.0,-8.0
2.8479884,58.0,-7.0
3.3871036,58.0,-6.0
3.0399,58.0,-4.0
2.7563171,58.0,-3.0
2.586881,58.0,-2.0
2.5744522,58.0,-1.0
2.7410772,58.0,0.0
2.8807826,58.0,1.0
2.8061705,58.0,2.0
2.7288125,58.0,3.0
2.7444732,58.0,4.0
2.8333623,58.0,5.0
2.924017,58.0,6.0
3.088118,58.0,7.0
3.2570612,58.0,8.0
0.3893996,59.0,-20.0
0.67772937,59.0,-19.0
1.3521419,59.0,-18.0
2.0092711,59.0,-17.0
2.1142395,59.0,-16.0
2.3918386,59.0,-15.0
2.6802464,59.0,-14.0
2.7287512,59.0,-13.0
2.7612164,59.0,-12.0
3.1412792,59.0,-11.0
3.0541723,59.0,-10.0
3.0193064,59.0,-9.0
2.895111,59.0,-8.0
2.3852658,59.0,-7.0
2.127939,59.0,-6.0
2.2888072,59.0,-5.0
2.5353527,59.0,-4.0
2.6693308,59.0,-3.0
2.67832,59.0,-2.0
2.5329573,59.0,-1.0
2.4647832,59.0,0.0
2.5532303,59.0,1.0
2.6247559,59.0,2.0
2.7633271,59.0,3.0
2.8888526,59.0,4.0
3.2854593,59.0,5.0
3.3396611,59.0,6.0
0.06380659,60.0,-20.0
0.41334963,60.0,-19.0
2.2503574,60.0,-18.0
0.3346329,60.0,-17.0
0.016787013,60.0,-16.0
0.96111983,60.0,-15.0
2.1059282,60.0,-14.0
2.5278935,60.0,-13.0
2.9225745,60.0,-12.0
2.95025,60.0,-11.0
2.9470184,60.0,-10.0
2.90593,60.0,-9.0
2.9924822,60.0,-8.0
2.857604,60.0,-7.0
